iteration,gain_max,ugf,pm,temperature,vdd,vcm_diff
104,64.2066,15929900,65.0006,20,1.7,-0.2
105,38.6918,12896700,72.171,20,1.7,-0.2
106,43.1198,13999400,69.7558,20,1.7,-0.2
107,64.4759,15892800,64.9858,20,1.7,-0.2
108,49.9753,14478700,65.8036,20,1.7,-0.2
109,70.4173,16718200,64.5559,20,1.7,-0.2
110,61.3825,15607800,65.3021,20,1.7,-0.2
111,50.3243,14466400,65.7259,20,1.7,-0.2
112,66.0059,16594200,64.7954,20,1.7,-0.2
113,63.6776,15810700,65.0301,20,1.7,-0.2
114,42.8579,12527000,67.2824,20,1.7,-0.2
115,67.0174,16633400,64.7972,20,1.7,-0.2
116,44.164,12884900,66.9719,20,1.7,-0.2
117,49.1129,14132200,65.8951,20,1.7,-0.2
118,69.7218,16508600,64.5113,20,1.7,-0.2
119,61.6826,15486900,65.2766,20,1.7,-0.2
120,64.407,16122200,64.643,20,1.7,-0.2
121,68.0179,16697700,64.7011,20,1.7,-0.2
122,46.4404,14325600,68.4334,20,1.7,-0.2
123,49.3008,14678400,67.5014,20,1.7,-0.2
124,63.9875,15883600,64.9689,20,1.7,-0.2
125,41.0419,13623400,70.7632,20,1.7,-0.2
126,35.3741,11557900,74.4691,20,1.7,-0.2
127,53.6116,15051300,66.529,20,1.7,-0.2
128,65.3489,16529200,64.8901,20,1.7,-0.2
129,46.1661,14300500,68.4617,20,1.7,-0.2
130,42.9503,13908700,69.7972,20,1.7,-0.2
131,60.2142,15412900,65.4714,20,1.7,-0.2
132,63.9259,15692600,64.9908,20,1.7,-0.2
133,65.8338,16650900,64.8456,20,1.7,-0.2
134,58.0685,15285800,65.7226,20,1.7,-0.2
135,44.3603,14080500,69.1575,20,1.7,-0.2
136,66.1682,16618200,64.8186,20,1.7,-0.2
137,63.019,15600900,65.0785,20,1.7,-0.2
138,64.8505,16254500,64.9444,20,1.7,-0.2
139,48.4959,14033900,66.0214,20,1.7,-0.2
140,65.1526,16380400,64.9672,20,1.7,-0.2
141,43.5813,12683000,67.0982,20,1.7,-0.2
142,39.1101,11240700,68.5356,20,1.7,-0.2
143,56.2153,15264300,66.0851,20,1.7,-0.2
144,41.9021,12172500,67.6572,20,1.7,-0.2
145,46.2257,13595600,66.4676,20,1.7,-0.2
146,65.1426,16429200,64.8987,20,1.7,-0.2
147,63.7747,16075100,64.651,20,1.7,-0.2
148,69.9523,16649600,64.4781,20,1.7,-0.2
149,64.6073,15986900,64.9736,20,1.7,-0.2
150,65.1553,16334900,64.916,20,1.7,-0.2
1,38.4424,12504200,72.2592,27,1.7,-0.2
2,41.6239,13394000,70.4366,27,1.7,-0.2
3,45.9014,14076500,68.6088,27,1.7,-0.2
4,64.4226,15573100,64.999,27,1.7,-0.2
5,37.2185,10438700,69.3647,27,1.7,-0.2
6,65.1632,15917900,64.9759,27,1.7,-0.2
7,62.1252,15221500,65.2156,27,1.7,-0.2
8,63.8622,15482800,65.0196,27,1.7,-0.2
9,44.0193,12720200,67.0525,27,1.7,-0.2
10,56.9645,15290200,65.0012,27,1.7,-0.2
11,54.7211,14875800,65.2386,27,1.7,-0.2
12,65.1719,16028200,64.9122,27,1.7,-0.2
13,64.9998,15897000,64.9761,27,1.7,-0.2
14,65.1139,15971500,64.9675,27,1.7,-0.2
15,65.5288,16256000,64.9252,27,1.7,-0.2
16,43.02,12388100,67.2381,27,1.7,-0.2
17,58.5471,15140100,65.6592,27,1.7,-0.2
18,65.3761,16035700,64.9784,27,1.7,-0.2
19,47.5843,14294100,67.9808,27,1.7,-0.2
20,65.773,16319300,64.9114,27,1.7,-0.2
